SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	Year-年
硕士	补中益气汤加减治疗气虚型盆底功能障碍性疾病的临床疗效观察	古扎力努尔·艾尔肯	新疆医科大学	新疆医科大学			2024
硕士	补中益气汤联合生物补片在成人急性腹股沟嵌顿疝术后康复中的应用	孔令远	桂林医学院	桂林医学院			2024
硕士	补中益气汤加减联合五音疗法治疗功能性便秘伴焦虑抑郁的临床研究	姜洪宇	辽宁中医药大学	辽宁中医药大学			2024
硕士	补中益气汤对脾虚便秘小鼠5-HT4R及CaM-MLCK信号通路影响的实验研究	郭晗	辽宁中医药大学	辽宁中医药大学			2024
硕士	补中益气汤通过Nrf2/ROS/PERK/CHOP信号通路调控内质网应激改善NSCLC顺铂耐药的分子机制	李贺	辽宁中医药大学	辽宁中医药大学			2024
硕士	基于Nrf2/HO-1信号通路探讨补中益气汤对妊娠SCH后代仔鼠脑保护的作用机制	付强	辽宁中医药大学	辽宁中医药大学			2024
硕士	基于线粒体呼吸链相关酶探讨补中益气汤对SCH后代脑发育损伤机制的研究	黄杨玲	辽宁中医药大学	辽宁中医药大学			2024
硕士	补中益气汤改善自身免疫性甲状腺炎小鼠肠粘膜屏障损伤的作用机制	张鹏坤	辽宁中医药大学	辽宁中医药大学			2024
硕士	补中益气汤对妊娠SCH母鼠后代脑组织线粒体损伤及抗氧化能力的影响	李晓钰	辽宁中医药大学	辽宁中医药大学			2024
硕士	补中益气颗粒联合CO<sub>2</sub>点阵激光治疗VLS（气虚证）的临床观察	陈宣蓉	辽宁中医药大学	辽宁中医药大学			2024
